Surveillance Network,Season,Date Type,Date,Age Category,Race,Sex,State,Data Type,Estimate Type,Rate Type,Estimate
COVID-NET,2023-24,Week Ending Date,2023-10-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.5
COVID-NET,2023-24,Week Ending Date,2023-10-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2023-10-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2023-10-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2023-11-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2023-11-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.7
COVID-NET,2023-24,Week Ending Date,2023-11-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.9
COVID-NET,2023-24,Week Ending Date,2023-11-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,5.2
COVID-NET,2023-24,Week Ending Date,2023-12-02,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,6.1
COVID-NET,2023-24,Week Ending Date,2023-12-09,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,6.2
COVID-NET,2023-24,Week Ending Date,2023-12-16,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,6.2
COVID-NET,2023-24,Week Ending Date,2023-12-23,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,6.7
COVID-NET,2023-24,Week Ending Date,2023-12-30,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,7.9
COVID-NET,2023-24,Week Ending Date,2024-01-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,7.8
COVID-NET,2023-24,Week Ending Date,2024-01-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,7.3
COVID-NET,2023-24,Week Ending Date,2024-01-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,6.1
COVID-NET,2023-24,Week Ending Date,2024-01-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,5.5
COVID-NET,2023-24,Week Ending Date,2024-02-03,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.9
COVID-NET,2023-24,Week Ending Date,2024-02-10,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.4
COVID-NET,2023-24,Week Ending Date,2024-02-17,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.3
COVID-NET,2023-24,Week Ending Date,2024-02-24,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2024-03-02,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.6
COVID-NET,2023-24,Week Ending Date,2024-03-09,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.0
COVID-NET,2023-24,Week Ending Date,2024-03-16,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.5
COVID-NET,2023-24,Week Ending Date,2024-03-23,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.0
COVID-NET,2023-24,Week Ending Date,2024-03-30,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
COVID-NET,2023-24,Week Ending Date,2024-04-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.9
COVID-NET,2023-24,Week Ending Date,2024-04-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.5
COVID-NET,2023-24,Week Ending Date,2024-04-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.2
COVID-NET,2023-24,Week Ending Date,2024-04-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
COVID-NET,2023-24,Week Ending Date,2024-05-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.1
COVID-NET,2023-24,Week Ending Date,2024-05-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.2
COVID-NET,2023-24,Week Ending Date,2024-05-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
COVID-NET,2023-24,Week Ending Date,2024-05-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
COVID-NET,2023-24,Week Ending Date,2024-06-01,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.6
COVID-NET,2023-24,Week Ending Date,2024-06-08,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.7
COVID-NET,2023-24,Week Ending Date,2024-06-15,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.9
COVID-NET,2023-24,Week Ending Date,2024-06-22,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.2
COVID-NET,2023-24,Week Ending Date,2024-06-29,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.7
COVID-NET,2023-24,Week Ending Date,2024-07-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.1
COVID-NET,2023-24,Week Ending Date,2024-07-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.3
COVID-NET,2023-24,Week Ending Date,2024-07-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.4
COVID-NET,2023-24,Week Ending Date,2024-07-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.2
COVID-NET,2023-24,Week Ending Date,2024-08-03,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.5
COVID-NET,2023-24,Week Ending Date,2024-08-10,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.9
COVID-NET,2023-24,Week Ending Date,2024-08-17,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.8
COVID-NET,2023-24,Week Ending Date,2024-08-24,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.5
COVID-NET,2023-24,Week Ending Date,2024-08-31,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.3
COVID-NET,2023-24,Week Ending Date,2024-09-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.1
COVID-NET,2023-24,Week Ending Date,2024-09-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.4
COVID-NET,2023-24,Week Ending Date,2024-09-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.9
COVID-NET,2023-24,Week Ending Date,2024-09-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.4
COVID-NET,2024-25,Week Ending Date,2024-10-05,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.0
COVID-NET,2024-25,Week Ending Date,2024-10-12,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.6
COVID-NET,2024-25,Week Ending Date,2024-10-19,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.1
COVID-NET,2024-25,Week Ending Date,2024-10-26,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.1
COVID-NET,2024-25,Week Ending Date,2024-11-02,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
COVID-NET,2024-25,Week Ending Date,2024-11-09,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
COVID-NET,2024-25,Week Ending Date,2024-11-16,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.7
COVID-NET,2024-25,Week Ending Date,2024-11-23,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.7
COVID-NET,2024-25,Week Ending Date,2024-11-30,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
COVID-NET,2024-25,Week Ending Date,2024-12-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.1
COVID-NET,2024-25,Week Ending Date,2024-12-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.4
COVID-NET,2024-25,Week Ending Date,2024-12-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.7
COVID-NET,2024-25,Week Ending Date,2024-12-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.5
COVID-NET,2024-25,Week Ending Date,2025-01-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,4.3
COVID-NET,2024-25,Week Ending Date,2025-01-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.7
COVID-NET,2024-25,Week Ending Date,2025-01-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.2
COVID-NET,2024-25,Week Ending Date,2025-01-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.0
COVID-NET,2024-25,Week Ending Date,2025-02-01,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.0
COVID-NET,2024-25,Week Ending Date,2025-02-08,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.8
COVID-NET,2024-25,Week Ending Date,2025-02-15,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.8
COVID-NET,2024-25,Week Ending Date,2025-02-22,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.3
COVID-NET,2024-25,Week Ending Date,2025-03-01,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.2
COVID-NET,2024-25,Week Ending Date,2025-03-08,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.1
COVID-NET,2024-25,Week Ending Date,2025-03-15,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.2
COVID-NET,2024-25,Week Ending Date,2025-03-22,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.9
COVID-NET,2024-25,Week Ending Date,2025-03-29,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
COVID-NET,2024-25,Week Ending Date,2025-04-05,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.7
COVID-NET,2024-25,Week Ending Date,2025-04-12,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.5
COVID-NET,2024-25,Week Ending Date,2025-04-19,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
COVID-NET,2024-25,Week Ending Date,2025-04-26,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
COVID-NET,2024-25,Week Ending Date,2025-05-03,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.1
COVID-NET,2024-25,Week Ending Date,2025-05-10,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.0
COVID-NET,2024-25,Week Ending Date,2025-05-17,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.0
